schedule_id,store_id,employee_id,employee_name,shift_date,shift_type,start_time,end_time,hours_worked,department
SCH000001,S001,EMP001,Mike Smith,2024-01-15,morning,15:00,21:00,8.0,stocking
SCH000002,S001,EMP001,Mike Smith,2024-01-17,evening,21:00,17:00,8.0,bakery
SCH000003,S001,EMP001,Mike Smith,2024-01-26,evening,09:00,16:00,8.0,meat
SCH000004,S001,EMP001,Mike Smith,2024-01-22,evening,15:00,04:00,8.0,stocking
SCH000005,S001,EMP001,Mike Smith,2024-01-26,morning,06:00,05:00,8.0,dairy
SCH000006,S001,EMP001,Mike Smith,2024-01-06,morning,18:00,19:00,8.0,stocking
SCH000007,S001,EMP001,Mike Smith,2024-01-09,night,22:00,21:00,8.0,produce
SCH000008,S001,EMP001,Mike Smith,2024-01-19,night,19:00,16:00,8.0,stocking
SCH000009,S001,EMP001,Mike Smith,2024-01-04,evening,21:00,18:00,8.0,checkout
SCH000010,S001,EMP001,Mike Smith,2024-01-30,evening,07:00,06:00,8.0,produce
SCH000011,S001,EMP001,Mike Smith,2024-01-11,night,11:00,18:00,8.0,dairy
SCH000012,S001,EMP001,Mike Smith,2024-01-14,evening,18:00,15:00,8.0,stocking
SCH000013,S001,EMP001,Mike Smith,2024-01-17,morning,06:00,14:00,8.0,dairy
SCH000014,S001,EMP001,Mike Smith,2024-01-10,evening,14:00,01:00,8.0,stocking
SCH000015,S001,EMP001,Mike Smith,2024-01-27,evening,12:00,03:00,8.0,stocking
SCH000016,S001,EMP001,Mike Smith,2024-01-02,night,21:00,06:00,8.0,dairy
SCH000017,S001,EMP001,Mike Smith,2024-01-31,evening,18:00,06:00,8.0,meat
SCH000018,S001,EMP001,Mike Smith,2024-01-30,morning,12:00,19:00,8.0,produce
SCH000019,S001,EMP001,Mike Smith,2024-01-06,evening,15:00,19:00,8.0,dairy
SCH000020,S001,EMP001,Mike Smith,2024-01-25,evening,22:00,16:00,8.0,bakery
SCH000021,S001,EMP001,Mike Smith,2024-01-14,night,08:00,17:00,8.0,bakery
SCH000022,S001,EMP001,Mike Smith,2024-01-26,evening,10:00,23:00,8.0,produce
SCH000023,S001,EMP001,Mike Smith,2024-01-10,morning,21:00,16:00,8.0,dairy
SCH000024,S001,EMP001,Mike Smith,2024-01-01,evening,06:00,05:00,8.0,stocking
SCH000025,S001,EMP001,Mike Smith,2024-01-16,evening,22:00,03:00,8.0,checkout
SCH000026,S001,EMP001,Mike Smith,2024-01-05,evening,09:00,23:00,8.0,meat
SCH000027,S001,EMP001,Mike Smith,2024-01-19,evening,07:00,16:00,8.0,produce
SCH000028,S001,EMP001,Mike Smith,2024-01-21,night,20:00,05:00,8.0,bakery
SCH000029,S001,EMP002,John Wilson,2024-01-09,evening,20:00,03:00,8.0,stocking
SCH000030,S001,EMP002,John Wilson,2024-01-02,evening,18:00,18:00,8.0,stocking
SCH000031,S001,EMP002,John Wilson,2024-01-29,evening,17:00,17:00,8.0,bakery
SCH000032,S001,EMP002,John Wilson,2024-01-07,night,09:00,05:00,8.0,meat
SCH000033,S001,EMP002,John Wilson,2024-01-25,night,19:00,01:00,8.0,produce
SCH000034,S001,EMP002,John Wilson,2024-01-29,night,16:00,06:00,8.0,checkout
SCH000035,S001,EMP002,John Wilson,2024-01-19,evening,11:00,04:00,8.0,checkout
SCH000036,S001,EMP002,John Wilson,2024-01-05,evening,06:00,00:00,8.0,bakery
SCH000037,S001,EMP002,John Wilson,2024-01-17,evening,09:00,23:00,8.0,stocking
SCH000038,S001,EMP002,John Wilson,2024-01-23,evening,21:00,15:00,8.0,produce
SCH000039,S001,EMP002,John Wilson,2024-01-13,night,22:00,23:00,8.0,stocking
SCH000040,S001,EMP002,John Wilson,2024-01-31,morning,22:00,23:00,8.0,meat
SCH000041,S001,EMP002,John Wilson,2024-01-02,morning,19:00,02:00,8.0,stocking
SCH000042,S001,EMP002,John Wilson,2024-01-31,night,07:00,19:00,8.0,bakery
SCH000043,S001,EMP002,John Wilson,2024-01-03,night,18:00,03:00,8.0,meat
SCH000044,S001,EMP002,John Wilson,2024-01-08,morning,11:00,20:00,8.0,stocking
SCH000045,S001,EMP002,John Wilson,2024-01-07,morning,17:00,23:00,8.0,stocking
SCH000046,S001,EMP002,John Wilson,2024-01-30,morning,16:00,06:00,8.0,dairy
SCH000047,S001,EMP002,John Wilson,2024-01-01,morning,08:00,14:00,8.0,bakery
SCH000048,S001,EMP002,John Wilson,2024-01-14,evening,06:00,23:00,8.0,dairy
SCH000049,S001,EMP002,John Wilson,2024-01-27,night,11:00,06:00,8.0,meat
SCH000050,S001,EMP002,John Wilson,2024-01-03,morning,09:00,20:00,8.0,dairy
SCH000051,S001,EMP003,John Brown,2024-01-05,evening,14:00,16:00,8.0,stocking
SCH000052,S001,EMP003,John Brown,2024-01-08,evening,19:00,04:00,8.0,produce
SCH000053,S001,EMP003,John Brown,2024-01-10,night,19:00,20:00,8.0,checkout
SCH000054,S001,EMP003,John Brown,2024-01-02,night,19:00,03:00,8.0,produce
SCH000055,S001,EMP003,John Brown,2024-01-12,evening,06:00,04:00,8.0,meat
SCH000056,S001,EMP003,John Brown,2024-01-20,morning,14:00,16:00,8.0,stocking
SCH000057,S001,EMP003,John Brown,2024-01-21,evening,10:00,03:00,8.0,produce
SCH000058,S001,EMP003,John Brown,2024-01-25,night,06:00,02:00,8.0,stocking
SCH000059,S001,EMP003,John Brown,2024-01-04,night,15:00,19:00,8.0,stocking
SCH000060,S001,EMP003,John Brown,2024-01-31,evening,16:00,01:00,8.0,bakery
SCH000061,S001,EMP003,John Brown,2024-01-04,night,12:00,03:00,8.0,stocking
SCH000062,S001,EMP003,John Brown,2024-01-12,night,09:00,18:00,8.0,stocking
SCH000063,S001,EMP003,John Brown,2024-01-31,night,15:00,23:00,8.0,meat
SCH000064,S001,EMP003,John Brown,2024-01-16,night,10:00,01:00,8.0,produce
SCH000065,S001,EMP003,John Brown,2024-01-11,evening,12:00,17:00,8.0,stocking
SCH000066,S001,EMP003,John Brown,2024-01-15,evening,16:00,06:00,8.0,checkout
SCH000067,S001,EMP003,John Brown,2024-01-25,morning,11:00,15:00,8.0,produce
SCH000068,S001,EMP003,John Brown,2024-01-04,evening,22:00,15:00,8.0,dairy
SCH000069,S001,EMP003,John Brown,2024-01-21,night,20:00,06:00,8.0,dairy
SCH000070,S001,EMP003,John Brown,2024-01-30,evening,18:00,05:00,8.0,dairy
SCH000071,S001,EMP003,John Brown,2024-01-06,night,13:00,23:00,8.0,produce
SCH000072,S001,EMP004,Jane Johnson,2024-01-01,morning,10:00,04:00,8.0,dairy
SCH000073,S001,EMP004,Jane Johnson,2024-01-25,night,06:00,19:00,8.0,produce
SCH000074,S001,EMP004,Jane Johnson,2024-01-12,evening,20:00,16:00,8.0,produce
SCH000075,S001,EMP004,Jane Johnson,2024-01-14,evening,06:00,01:00,8.0,stocking
SCH000076,S001,EMP004,Jane Johnson,2024-01-02,night,22:00,00:00,8.0,bakery
SCH000077,S001,EMP004,Jane Johnson,2024-01-20,evening,15:00,05:00,8.0,stocking
SCH000078,S001,EMP004,Jane Johnson,2024-01-24,evening,17:00,04:00,8.0,checkout
SCH000079,S001,EMP004,Jane Johnson,2024-01-26,morning,08:00,21:00,8.0,bakery
SCH000080,S001,EMP004,Jane Johnson,2024-01-14,evening,21:00,14:00,8.0,dairy
SCH000081,S001,EMP004,Jane Johnson,2024-01-02,morning,06:00,23:00,8.0,bakery
SCH000082,S001,EMP004,Jane Johnson,2024-01-03,morning,08:00,16:00,8.0,produce
SCH000083,S001,EMP004,Jane Johnson,2024-01-19,morning,19:00,01:00,8.0,dairy
SCH000084,S001,EMP004,Jane Johnson,2024-01-26,night,08:00,01:00,8.0,bakery
SCH000085,S001,EMP004,Jane Johnson,2024-01-20,morning,17:00,20:00,8.0,checkout
SCH000086,S001,EMP004,Jane Johnson,2024-01-21,evening,16:00,16:00,8.0,stocking
SCH000087,S001,EMP004,Jane Johnson,2024-01-04,morning,14:00,23:00,8.0,dairy
SCH000088,S001,EMP004,Jane Johnson,2024-01-04,morning,14:00,15:00,8.0,dairy
SCH000089,S001,EMP004,Jane Johnson,2024-01-23,night,22:00,02:00,8.0,bakery
SCH000090,S001,EMP004,Jane Johnson,2024-01-10,morning,18:00,17:00,8.0,produce
SCH000091,S001,EMP004,Jane Johnson,2024-01-19,night,08:00,19:00,8.0,meat
SCH000092,S001,EMP004,Jane Johnson,2024-01-26,night,10:00,17:00,8.0,produce
SCH000093,S001,EMP004,Jane Johnson,2024-01-07,evening,17:00,05:00,8.0,bakery
SCH000094,S001,EMP004,Jane Johnson,2024-01-16,evening,08:00,21:00,8.0,checkout
SCH000095,S001,EMP004,Jane Johnson,2024-01-09,evening,22:00,05:00,8.0,checkout
SCH000096,S001,EMP004,Jane Johnson,2024-01-04,morning,07:00,23:00,8.0,bakery
SCH000097,S001,EMP004,Jane Johnson,2024-01-12,evening,12:00,21:00,8.0,checkout
SCH000098,S001,EMP005,Mike Smith,2024-01-09,evening,06:00,02:00,8.0,stocking
SCH000099,S001,EMP005,Mike Smith,2024-01-14,morning,20:00,22:00,8.0,produce
SCH000100,S001,EMP005,Mike Smith,2024-01-16,night,20:00,01:00,8.0,checkout
SCH000101,S001,EMP005,Mike Smith,2024-01-31,evening,15:00,02:00,8.0,checkout
SCH000102,S001,EMP005,Mike Smith,2024-01-10,night,10:00,04:00,8.0,produce
SCH000103,S001,EMP005,Mike Smith,2024-01-11,morning,22:00,00:00,8.0,bakery
SCH000104,S001,EMP005,Mike Smith,2024-01-13,night,13:00,05:00,8.0,checkout
SCH000105,S001,EMP005,Mike Smith,2024-01-06,morning,11:00,01:00,8.0,checkout
SCH000106,S001,EMP005,Mike Smith,2024-01-29,evening,22:00,00:00,8.0,dairy
SCH000107,S001,EMP005,Mike Smith,2024-01-09,morning,13:00,05:00,8.0,produce
SCH000108,S001,EMP005,Mike Smith,2024-01-23,night,06:00,05:00,8.0,stocking
SCH000109,S001,EMP005,Mike Smith,2024-01-22,night,14:00,15:00,8.0,meat
SCH000110,S001,EMP005,Mike Smith,2024-01-16,morning,22:00,06:00,8.0,checkout
SCH000111,S001,EMP005,Mike Smith,2024-01-29,morning,11:00,19:00,8.0,produce
SCH000112,S001,EMP005,Mike Smith,2024-01-09,night,19:00,01:00,8.0,dairy
SCH000113,S001,EMP005,Mike Smith,2024-01-15,evening,10:00,14:00,8.0,dairy
SCH000114,S001,EMP005,Mike Smith,2024-01-14,night,14:00,15:00,8.0,dairy
SCH000115,S001,EMP005,Mike Smith,2024-01-22,morning,12:00,05:00,8.0,dairy
SCH000116,S001,EMP005,Mike Smith,2024-01-02,night,16:00,22:00,8.0,checkout
SCH000117,S001,EMP005,Mike Smith,2024-01-28,night,11:00,19:00,8.0,dairy
SCH000118,S001,EMP005,Mike Smith,2024-01-28,morning,17:00,01:00,8.0,stocking
SCH000119,S001,EMP005,Mike Smith,2024-01-24,morning,12:00,20:00,8.0,bakery
SCH000120,S001,EMP005,Mike Smith,2024-01-15,night,15:00,22:00,8.0,meat
SCH000121,S001,EMP006,Jane Davis,2024-01-16,night,14:00,21:00,8.0,meat
SCH000122,S001,EMP006,Jane Davis,2024-01-23,morning,21:00,16:00,8.0,stocking
SCH000123,S001,EMP006,Jane Davis,2024-01-15,morning,07:00,03:00,8.0,stocking
SCH000124,S001,EMP006,Jane Davis,2024-01-03,night,11:00,23:00,8.0,checkout
SCH000125,S001,EMP006,Jane Davis,2024-01-21,morning,12:00,04:00,8.0,meat
SCH000126,S001,EMP006,Jane Davis,2024-01-19,evening,07:00,00:00,8.0,meat
SCH000127,S001,EMP006,Jane Davis,2024-01-19,evening,16:00,23:00,8.0,bakery
SCH000128,S001,EMP006,Jane Davis,2024-01-22,evening,16:00,15:00,8.0,meat
SCH000129,S001,EMP006,Jane Davis,2024-01-14,night,08:00,05:00,8.0,dairy
SCH000130,S001,EMP006,Jane Davis,2024-01-31,evening,13:00,02:00,8.0,stocking
SCH000131,S001,EMP006,Jane Davis,2024-01-02,night,11:00,16:00,8.0,dairy
SCH000132,S001,EMP006,Jane Davis,2024-01-05,night,12:00,02:00,8.0,stocking
SCH000133,S001,EMP006,Jane Davis,2024-01-04,morning,22:00,22:00,8.0,bakery
SCH000134,S001,EMP006,Jane Davis,2024-01-12,morning,17:00,05:00,8.0,produce
